ra,dec,mag
89.911,37.239,2.65
81.563,28.670,1.65
83.183,32.193,4.71
81.784,30.210,5.69
81.165,31.145,5.94
87.743,37.322,4.72
87.869,39.148,3.97
87.307,39.190,4.51
73.170,36.705,4.79
74.793,37.926,4.93
72.495,37.474,4.89
80.004,33.959,5.05
79.077,34.297,5.99
79.744,33.759,5.38
79.531,33.430,4.54
78.863,32.683,5.01
79.540,40.339,4.69
78.366,38.511,4.82
81.163,37.390,5.02
84.410,21.149,2.97
77.427,15.603,4.81
76.135,15.415,4.65
74.122,13.531,4.06
73.701,11.421,5.18
73.709,10.197,4.64
72.653,8.912,4.35
72.291,6.957,3.19
72.803,5.605,3.68
73.562,2.441,3.71
70.056,-24.489,5.56
75.342,-20.046,4.91
73.777,-16.737,5.71
73.823,-16.431,5.71
74.436,-14.228,6.15
74.967,-12.506,4.78
74.953,-10.214,5.39
71.021,-8.504,5.78
68.479,-6.737,5.71
68.425,-29.668,4.49
68.908,-30.558,3.81
65.977,-34.038,3.97
64.446,-33.796,3.55
57.115,-37.616,4.30
57.386,-36.180,4.17
55.750,-37.288,4.59
54.272,-40.269,4.57
52.562,-41.308,6.12
48.477,-43.332,4.26
44.591,-40.314,2.88
40.103,-39.846,4.11
39.904,-42.886,4.74
83.785,9.935,3.39
83.706,9.490,4.39
84.191,9.401,4.09
88.330,27.616,4.56
89.500,25.955,4.81
91.031,23.307,4.16
90.979,20.139,4.64
104.416,45.095,4.90
102.703,41.831,4.99
99.833,42.509,4.80
99.138,38.453,5.40
93.088,32.695,5.78
93.874,29.593,4.32
87.743,27.964,5.60
84.930,25.906,5.18
83.857,24.047,5.37
88.783,7.403,0.45
85.188,-1.943,1.74
84.053,-1.202,1.69
83.001,-0.299,2.25
78.634,-8.201,0.18
81.286,6.354,1.64
86.939,-9.669,2.07
83.845,-4.836,4.58
83.845,-5.417,4.98
83.857,-5.910,2.75
77.287,-8.753,4.25
75.360,-7.176,4.80
76.993,-5.059,2.78
79.407,-6.841,3.59
76.358,-22.345,3.19
78.216,-16.200,3.29
78.065,-11.858,4.45
78.312,-12.941,4.36
79.895,-13.175,4.29
80.000,-12.318,5.29
83.181,-17.823,2.58
82.063,-20.728,2.81
86.230,-22.315,3.59
87.742,-20.645,3.76
84.452,-28.705,5.28
109.541,16.554,3.58
106.029,20.571,4.01
102.890,21.774,5.28
100.985,25.136,3.06
97.243,20.217,4.13
95.718,22.553,2.87
99.429,16.423,1.93
101.365,12.965,3.35
93.744,22.510,3.31
115.085,5.599,0.40
111.806,8.303,2.89
112.062,8.922,4.33
116.585,28.043,1.16
113.737,31.942,1.58
112.210,31.715,4.16
98.800,28.027,5.26
99.604,28.990,5.76
101.193,28.979,5.42
103.198,33.978,3.60
107.798,30.263,4.41
111.481,27.829,3.78
113.997,26.935,4.06
116.121,24.418,3.57
114.807,34.627,4.89
120.891,27.807,4.94
94.276,9.964,5.39
97.945,11.534,5.22
98.406,14.187,5.57
94.080,12.205,5.04
121.932,21.606,5.30
118.922,19.898,5.38
116.560,18.529,4.89
114.868,17.674,5.04
103.635,13.206,4.73
105.571,15.345,5.78
107.094,15.968,5.47
108.337,16.174,5.07
99.475,-18.234,4.42
99.147,-19.231,3.95
98.759,-22.971,4.54
97.965,-23.421,4.34
92.243,-22.408,5.49
91.919,-19.186,5.28
91.248,-16.483,4.92
91.545,-14.940,4.67
93.932,-13.714,5.00
95.355,-11.774,5.48
96.063,-11.518,5.21
97.830,-12.385,5.16
99.818,-14.143,4.82
95.676,-17.956,1.98
97.048,-32.589,4.47
95.539,-33.417,3.85
89.385,-35.287,4.36
87.715,-35.914,3.12
84.912,-34.065,2.65
82.791,-35.458,3.86
107.966,-0.495,4.15
120.577,2.296,4.39
101.493,-16.274,-1.44
117.326,-24.860,3.34
111.025,-29.306,2.45
102.464,-32.510,3.50
104.655,-28.973,1.50
105.432,-27.937,3.49
107.099,-26.394,1.83
109.678,-24.956,4.37
113.291,-24.718,5.84
105.757,-23.835,3.02
95.976,-52.704,-0.62
127.922,18.115,5.33
128.194,20.457,5.33
130.863,21.483,4.66
131.178,18.237,3.94
131.683,28.776,4.03
133.921,27.940,5.23
137.013,29.653,5.42
134.905,32.431,5.23
122.155,-2.982,4.36
119.954,-3.679,4.93
120.282,-1.365,4.69
118.207,-5.418,5.76
116.491,-6.739,5.49
114.344,-4.117,5.14
112.332,-1.902,5.60
131.826,-1.901,5.28
128.519,-2.159,5.80
126.439,-3.898,3.91
128.876,-7.988,5.72
130.922,-7.233,4.63
132.348,-3.435,5.30
132.688,-27.742,4.02
120.911,-40.009,2.21
131.513,-46.043,3.87
122.386,-47.340,1.75
136.064,-47.094,3.75
137.011,-43.438,2.23
144.279,-49.370,4.34
130.813,3.399,4.30
129.696,3.347,4.45
129.440,5.706,4.14
131.778,6.433,3.38
132.115,5.849,4.35
133.885,5.940,3.11
136.500,5.096,4.99
138.550,2.425,3.89
134.606,11.868,4.26
136.944,10.672,5.23
138.823,14.946,5.36
144.947,-1.120,3.90
143.000,-1.183,4.54
142.251,-2.768,4.59
142.029,-6.048,5.38
141.902,-8.671,1.99
140.126,-9.546,4.80
139.954,-11.979,4.77
135.396,41.862,3.96
136.645,38.457,4.56
139.726,36.847,3.82
140.361,34.387,3.14
144.178,31.178,5.57
145.896,30.012,5.64
141.176,26.200,4.47
142.938,22.982,4.32
146.481,23.778,2.97
148.278,26.027,3.88
154.165,23.420,3.43
154.874,19.897,2.01
151.834,16.763,3.48
152.185,11.965,1.36
145.340,9.906,3.52
158.205,9.308,3.84
152.006,10.021,4.39
157.028,36.747,4.20
156.511,33.817,4.72
159.680,31.974,4.68
163.288,34.318,3.79
143.632,-5.894,5.56
147.803,-4.233,6.01
148.149,-8.088,5.07
130.088,-52.935,3.60
131.158,-54.671,1.93
139.286,-59.280,2.21
142.827,-57.037,3.16
140.535,-55.015,2.47
147.863,-14.839,4.11
152.721,-12.318,3.61
156.571,-16.807,3.83
148.735,-18.996,4.94
145.086,-14.325,5.07
159.683,-16.886,4.91
147.932,-46.551,4.58
142.745,-40.484,3.60
149.758,-35.885,5.23
149.133,-33.426,5.83
164.809,-33.717,5.70
164.145,-37.093,4.60
165.027,-42.227,4.37
159.397,-48.225,3.84
155.075,-47.701,5.66
157.997,-45.067,5.76
155.595,-41.672,4.82
153.757,-42.140,3.85
153.870,-43.093,5.59
151.553,-47.351,5.06
162.371,-16.266,3.11
165.120,-18.345,4.08
169.882,-14.853,3.56
171.257,-17.685,4.06
176.180,-18.342,4.71
165.842,-11.265,5.51
180.133,-10.271,5.54
174.192,-9.803,4.70
171.161,-10.868,4.81
162.428,-9.843,5.85
159.036,-11.987,5.71
174.630,-13.248,5.48
167.913,-22.790,4.46
168.002,-26.812,6.43
173.131,-26.754,6.15
174.740,-24.634,6.40
166.411,-27.291,4.92
178.916,-28.467,5.93
175.411,-29.278,6.44
173.077,-29.313,4.93
167.213,-28.073,5.43
159.353,-27.420,4.87
161.658,-49.401,2.69
168.193,-49.113,5.37
170.274,-54.490,3.90
182.117,-50.720,2.58
177.823,-45.170,4.47
188.596,-23.377,2.65
187.545,-16.465,2.94
184.012,-17.550,2.58
182.559,-22.624,3.02
185.183,-22.206,5.20
188.177,-16.175,4.30
182.792,-23.595,5.45
177.202,-26.746,5.10
178.658,-25.740,5.26
178.252,-33.909,4.29
175.073,-34.744,4.70
173.339,-31.843,3.54
173.238,-31.089,5.13
185.916,-35.410,5.32
192.684,-33.994,4.90
196.711,-35.831,5.63
198.188,-37.820,4.85
193.326,-40.171,4.25
189.989,-39.978,4.63
187.107,-39.036,5.45
158.097,-53.791,4.89
159.839,-55.605,4.29
161.754,-56.757,5.14
163.133,-57.242,5.26
167.151,-58.976,3.93
172.945,-59.442,5.07
183.812,-58.745,2.79
185.732,-57.672,5.38
187.773,-57.018,1.59
186.881,-58.994,5.38
176.645,-61.173,4.11
168.155,-60.318,4.59
163.318,-58.867,3.78
158.907,-57.558,4.45
156.712,-54.879,5.58
154.912,-55.031,4.59
155.240,-56.044,4.50
156.856,-57.640,4.65
156.979,-58.740,3.81
159.698,-59.183,4.69
160.896,-60.568,4.58
166.664,-62.428,4.62
173.972,-63.017,3.11
185.466,-60.434,3.59
191.965,-59.684,1.25
154.289,-61.335,3.39
158.019,-61.689,3.30
160.755,-64.399,2.74
177.436,-63.790,4.30
180.879,-63.315,4.32
184.637,-63.999,4.06
186.678,-63.094,0.77
